Timestamp dT0 sum(dT0) L0 L1N L1S L2 15N(Tg) 0N(Tg) xxx(Tg) 15S(Tg) 
2035 0.2147 0.2147 0.0201 0 0 0 0. 1.2 0. 0. 
2036 0.0313796394764 0.246079639476 0.0403032025494 0 0 0 0. 2.38995266 0. 0. 
2037 0.0134189338676 0.259498573344 0.0555688970515 0 0 0 0. 3.29519803 0. 0. 
2038 0.0983393672412 0.357837940585 0.0731235115996 0 0 0 0. 4.3361748 0. 0. 
2039 0.117006724636 0.474844665221 0.0914056005093 0 0 0 0. 5.42029031 0. 0. 
2040 0.097196195949 0.57204086117 0.109604717028 0 0 0 0. 6.49948562 0. 0. 
2041 0.22986087893 0.8019017401 0.13124698471 0 0 0 0. 7.78285746 0. 0. 
2042 0.33965081955 1.14155255965 0.154683716947 0 0 0 0. 9.17263983 0. 0. 
2043 0.231383173724 1.37293573337 0.171383088234 0 0 0 0. 10.16290126 0. 0. 
2044 0.236072468325 1.60900820169 0.190511401789 0 0 0 0. 11.29719732 0. 0. 
2045 0.178244384359 1.78725258605 0.20715504441 0 0 0 0. 12.28415408 0. 0. 
2046 0.120392699088 1.90764528514 0.213446275803 0 0 0 0. 12.65721985 0. 0. 
2047 -0.0180385221261 1.88960676301 0.21521577741 0 0 0 0. 12.76215009 0. 0. 
2048 0.113511878773 2.00311864178 0.225275370938 0 0 0 0. 13.35867719 0. 0. 
2049 0.318958655677 2.32207729746 0.241102326177 0 0 0 0. 14.29720494 0. 0. 
2050 0.382235916803 2.70431321426 0.255300459789 0 0 0 0. 15.13914466 0. 0. 
2051 0.0460150470229 2.75032826128 0.254308825725 0 0 0 0. 15.08034143 0. 0. 
2052 0.11297764476 2.86330590604 0.263023899655 0 0 0 0. 15.59713942 0. 0. 
2053 0.252967635111 3.11627354115 0.276136963245 0 0 0 0. 16.37473523 0. 0. 
2054 0.369040261009 3.48531380216 0.291152678541 0 0 0 0. 17.26515699 0. 0. 
2055 0.310666310814 3.79598011297 0.301361545432 0 0 0 0. 17.8705359 0. 0. 
2056 0.327473462762 4.12345357573 0.31346961597 0 0 0 0. 18.58853629 0. 0. 
2057 0.213755726521 4.33720930225 0.320535015708 0 0 0 0. 19.00750972 0. 0. 
2058 0.0457769106263 4.38298621288 0.323012016371 0 0 0 0. 19.15439419 0. 0. 
2059 0.0886665790617 4.47165279194 0.330728146896 0 0 0 0. 19.61195551 0. 0. 
2060 0.12745507437 4.59910786631 0.339160437212 0 0 0 0. 20.11198462 0. 0. 
2061 0.105469585004 4.70457745131 0.345884062694 0 0 0 0. 20.51069107 0. 0. 
2062 0.00609239624583 4.71066984756 0.348958090516 0 0 0 0. 20.69297884 0. 0. 
2063 0.112301651018 4.82297149858 0.358469500294 0 0 0 0. 21.25699901 0. 0. 
2064 -0.00133822889188 4.82163326969 0.361095644571 0 0 0 0. 21.41272759 0. 0. 
2065 0.0632482050351 4.88488147473 0.368734938194 0 0 0 0. 21.86573254 0. 0. 
2066 0.229046872676 5.11392834741 0.381886979965 0 0 0 0. 22.64563972 0. 0. 
2067 0.35405510447 5.46798345188 0.396777795308 0 0 0 0. 23.528655 0. 0. 
2068 0.191603522079 5.65958697396 0.402379670739 0 0 0 0. 23.86084243 0. 0. 
2069 0.0220698740727 5.68165684803 0.404335110976 0 0 0 0. 23.97679871 0. 0. 
2070 0.17923317326 5.86089002129 0.4162804043 0 0 0  0.  24.68514653  0.  0. 
