Timestamp dT0 sum(dT0) L0 L1N L1S L2 30N(Tg) 15N(Tg) 15S(Tg) 30S(Tg) 
2035 0.2147 0.2147 0.0201 0 0 0 0. 0.6 0.6 0. 
2036 0.478292497963 0.692992497963 0.0389946952929 0 0 0 0. 1.16984086 1.16984086 0. 
2037 0.337517882165 1.03051038013 0.0572704603865 0 0 0 0. 1.71811381 1.71811381 0. 
2038 0.401070458198 1.43158083833 0.0799277060411 0 0 0 0. 2.39783118 2.39783118 0. 
2039 0.305645301978 1.73722614031 0.102261534019 0 0 0 0. 3.06784602 3.06784602 0. 
2040 0.15020035642 1.88742649673 0.122191168815 0 0 0 0. 3.66573506 3.66573506 0. 
2041 0.163620567901 2.05104706463 0.137979716377 0 0 0 0. 4.13939149 4.13939149 0. 
2042 0.263942881538 2.31498994617 0.157194470747 0 0 0 0. 4.71583412 4.71583412 0. 
2043 0.271361415987 2.58635136216 0.174844845139 0 0 0 0. 5.24534535 5.24534535 0. 
2044 0.1407455519 2.72709691406 0.187578919724 0 0 0 0. 5.62736759 5.62736759 0. 
2045 0.0959762458751 2.82307315994 0.201064708022 0 0 0 0. 6.03194124 6.03194124 0. 
2046 0.226564795642 3.04963795558 0.212032432425 0 0 0 0. 6.36097297 6.36097297 0. 
2047 0.269555140219 3.3191930958 0.222183832979 0 0 0 0. 6.66551499 6.66551499 0. 
2048 0.0106545121025 3.3298476079 0.222072747238 0 0 0 0. 6.66218242 6.66218242 0. 
2049 0.0771970677274 3.40704467563 0.229135000527 0 0 0 0. 6.87405002 6.87405002 0. 
2050 0.127876697127 3.53492137276 0.236834399484 0 0 0 0. 7.10503198 7.10503198 0. 
2051 0.0428510242196 3.57777239698 0.240494421595 0 0 0 0. 7.21483265 7.21483265 0. 
2052 -0.255643154101 3.32212924288 0.234785526593 0 0 0 0. 7.0435658 7.0435658 0. 
2053 -0.0597887300495 3.26234051283 0.241707346976 0 0 0 0. 7.25122041 7.25122041 0. 
2054 0.0695929042423 3.33193341707 0.249780399213 0 0 0 0. 7.49341198 7.49341198 0. 
2055 0.0664664891974 3.39839990627 0.255371340751 0 0 0 0. 7.66114022 7.66114022 0. 
2056 0.0758052802931 3.47420518656 0.26136129544 0 0 0 0. 7.84083886 7.84083886 0. 
2057 -0.155297232815 3.31890795374 0.258721998271 0 0 0 0. 7.76165995 7.76165995 0. 
2058 0.00197138717118 3.32087934091 0.266067908584 0 0 0 0. 7.98203726 7.98203726 0. 
2059 0.104585704501 3.42546504541 0.274291487165 0 0 0 0. 8.22874461 8.22874461 0. 
2060 -0.0110385975407 3.41442644787 0.276405374284 0 0 0 0. 8.29216123 8.29216123 0. 
2061 0.217733660561 3.63216010843 0.289008250778 0 0 0 0. 8.67024752 8.67024752 0. 
2062 0.235837817376 3.86799792581 0.298087207087 0 0 0 0. 8.94261621 8.94261621 0. 
2063 0.0129611857934 3.8809591116 0.298677572611 0 0 0 0. 8.96032718 8.96032718 0. 
2064 0.151293701096 4.0322528127 0.308409550553 0 0 0 0. 9.25228652 9.25228652 0. 
2065 0.0701323967775 4.10238520948 0.312639539727 0 0 0 0. 9.37918619 9.37918619 0. 
2066 -0.254391159261 3.84799405022 0.306477218619 0 0 0 0. 9.19431656 9.19431656 0. 
2067 -0.195237256777 3.65275679344 0.308418711417 0 0 0 0. 9.25256134 9.25256134 0. 
2068 0.0654547345121 3.71821152795 0.318819014681 0 0 0 0. 9.56457044 9.56457044 0. 
2069 0.0384423856963 3.75665391365 0.323460002538 0 0 0 0. 9.70380008 9.70380008 0. 
2070 0.0685073219208 3.82516123557 0.329695693044 0 0 0  0.  9.89087079  9.89087079  0. 
