Timestamp dT0 sum(dT0) L0 L1N L1S L2 30N(Tg) 15N(Tg) 15S(Tg) 30S(Tg) 
2035 0.2147 0.2147 0.0201 0 0 0 0. 0.6 0.6 0. 
2036 0.228856554367 0.443556554367 0.0371688241857 0 0 0 0. 1.11506473 1.11506473 0. 
2037 0.172598663538 0.616155217905 0.0530301719187 0 0 0 0. 1.59090516 1.59090516 0. 
2038 0.347052358283 0.963207576188 0.0741918488857 0 0 0 0. 2.22575547 2.22575547 0. 
2039 0.329128899591 1.29233647578 0.0960921491993 0 0 0 0. 2.88276448 2.88276448 0. 
2040 -0.0278744046677 1.26446207111 0.107532151699 0 0 0 0. 3.22596455 3.22596455 0. 
2041 -0.0716918282262 1.19277024288 0.11796703369 0 0 0 0. 3.53901101 3.53901101 0. 
2042 -0.0103832163363 1.18238702654 0.131447669727 0 0 0 0. 3.94343009 3.94343009 0. 
2043 0.0997079260354 1.28209495258 0.147835693977 0 0 0 0. 4.43507082 4.43507082 0. 
2044 0.211141041098 1.49323599368 0.166287502334 0 0 0 0. 4.98862507 4.98862507 0. 
2045 0.300558385661 1.79379437934 0.185972759496 0 0 0 0. 5.57918278 5.57918278 0. 
2046 0.201003378271 1.99479775761 0.192261082865 0 0 0 0. 5.76783249 5.76783249 0. 
2047 0.159694437791 2.1544921954 0.198859355647 0 0 0 0. 5.96578067 5.96578067 0. 
2048 0.332489840803 2.4869820362 0.212537893791 0 0 0 0. 6.37613681 6.37613681 0. 
2049 -0.0538893019027 2.4330927343 0.208912799436 0 0 0 0. 6.26738398 6.26738398 0. 
2050 -0.112967185028 2.32012554927 0.210196192871 0 0 0 0. 6.30588579 6.30588579 0. 
2051 0.224430912514 2.54455646178 0.224909481937 0 0 0 0. 6.74728446 6.74728446 0. 
2052 0.2134998117 2.75805627348 0.233048307528 0 0 0 0. 6.99144923 6.99144923 0. 
2053 -0.0420115455591 2.71604472792 0.232035456588 0 0 0 0. 6.9610637 6.9610637 0. 
2054 -0.0235213619079 2.69252336601 0.236375204208 0 0 0 0. 7.09125613 7.09125613 0. 
2055 -0.00374236852048 2.68878099749 0.241100492624 0 0 0 0. 7.23301478 7.23301478 0. 
2056 0.135289650235 2.82407064772 0.250552397349 0 0 0 0. 7.51657192 7.51657192 0. 
2057 0.177177422266 3.00124806999 0.258993108586 0 0 0 0. 7.76979326 7.76979326 0. 
2058 -0.00984668000609 2.99140138998 0.259822191452 0 0 0 0. 7.79466574 7.79466574 0. 
2059 -0.113149905808 2.87825148417 0.260292917326 0 0 0 0. 7.80878752 7.80878752 0. 
2060 0.00630639819616 2.88455788237 0.267026192958 0 0 0 0. 8.01078579 8.01078579 0. 
2061 0.0772846000244 2.96184248239 0.274171220413 0 0 0 0. 8.22513661 8.22513661 0. 
2062 0.0950954224388 3.05693790483 0.280669222876 0 0 0 0. 8.42007669 8.42007669 0. 
2063 0.190788553078 3.24772645791 0.29034365587 0 0 0 0. 8.71030968 8.71030968 0. 
2064 0.195204666405 3.44293112431 0.298428534321 0 0 0 0. 8.95285603 8.95285603 0. 
2065 -0.0635945865708 3.37933653774 0.296960545239 0 0 0 0. 8.90881636 8.90881636 0. 
2066 0.0477433145377 3.42707985228 0.304303549667 0 0 0 0. 9.12910649 9.12910649 0. 
2067 0.26306708335 3.69014693563 0.317489920443 0 0 0 0. 9.52469761 9.52469761 0. 
2068 0.215956387515 3.90610332315 0.325011614783 0 0 0 0. 9.75034844 9.75034844 0. 
2069 0.273845307214 4.17994863036 0.335514169317 0 0 0 0. 10.06542508 10.06542508 0. 
2070 0.320497795275 4.50044642563 0.346664837684 0 0 0  0.  10.39994513  10.39994513  0. 
